序号,MAC地址,X坐标,Y坐标,Z坐标
B1,A0:E6:F8:2D:19:BB,-1.1397,4.7248,2.0000
B2,A0:E6:F8:25:D5:FB,1.7725,4.2468,2.0000
B3,C4:BE:84:D5:3E:07,-1.1358,9.6442,2.0000
B4,A0:E6:F8:25:BA:C9,1.7896,7.2496,2.0000
B5,B0:B4:48:DE:19:B1,-1.1225,14.4456,2.0000
B6,C4:BE:84:CE:30:85,1.7860,13.0025,2.0000
B7,B0:B4:48:FC:59:5A,-1.1236,19.1635,2.0000
B8,B0:B4:48:FB:8D:CB,1.7796,16.8425,2.0000
B9,B0:B4:48:FC:8E:1A,-1.1266,24.0482,2.0000
B10,B0:B4:48:FD:72:1C,1.7885,21.3653,2.0000
B11,B0:B4:48:FB:8D:BC,-1.1319,28.8415,2.0000
B12,A0:E6:F8:2D:7F:A4,1.8059,26.4415,2.0000
B13,B0:B4:48:FE:FE:B0,-1.1119,33.6452,2.0000
B14,A0:E6:F8:2D:1F:E8,1.8085,31.3284,2.0000
B15,A0:E6:F8:26:1E:74,-1.1123,38.1864,2.0000
B16,A0:E6:F8:2D:2E:5D,1.7995,35.9027,2.0000
B17,B0:B4:48:E1:E0:6C,-1.1234,43.2589,2.0000
B18,A0:E6:F8:25:B3:06,1.8032,40.8239,2.0000
B19,A0:E6:F8:2D:B0:67,1.8072,45.6426,2.0000
